# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
bend|plier, courber; virage, tournant|v;o
faint|s'évanouir; faible, à peine perceptible|v;o
attractive|séduisant, joli; attrayant, tentant|o;o
construction|construction, édification; construction, agencement|o;o
beef|boeuf (viande); grief, reproche (familier)|o;o
environment|milieu, cadre de vie; environnement, nature|o;o
payment|paiement, versement; paiement, règlement|o;o
scar|cicatrice|o
commercial|commercial; publicité, spot|v;o
hip|hanche|o
landing|atterrissage; palier|o;o
shield|bouclier; protéger, abriter|o;v
recent|récent|o
sacred|sacré, saint|o
novel|roman; nouveau, original|o;o
dial|cadran; composer (un numéro)|o;v
jewish|juif, du judaïsme|o
goodnight|bonne nuit (en se quittant le soir)|g
reject|refuser, rejeter|v
creep|se glisser, avancer furtivement; sale type, sinistre individu (familier)|v;o
adopt|adopter (un enfant); adopter (une méthode)|v;v
involve|impliquer, comporter; impliquer, mêler|v;v
invitation|invitation|o
makeup|maquillage|o
rage|rage, fureur|o
examine|examiner, inspecter; interroger, faire passer un examen à|v;v
obey|obéir à|v
headquarter|(headquarters) siège, quartier général|o
tube|tube, tuyau; métro (britannique)|o;o
profile|profil; portrait, notice biographique|o;o
distant|lointain, éloigné; distant, froid|o;o
electricity|électricité|o
haunt|hanter; hanter, obséder|v;v
math|maths (américain)|o
technique|technique|o
attach|attacher, fixer|v
woo|(cri d'excitation); courtiser, faire la cour à|g;v
hack|tailler, hacher; pirater (un système)|v;v
status|statut, rang; état, situation|o;o
rifle|fusil|o
symbol|symbole|o
bully|brutaliser, harceler; brute, tyran|v;o
possess|posséder, avoir; posséder, s'emparer de|v;v
observe|observer, surveiller; faire remarquer, observer; respecter (une règle)|v;v;v
audition|audition|o
execute|exécuter, mettre à mort; exécuter, mener à bien|v;v
frankly|franchement|o
festival|fête, festival|o
pulse|pouls|o
average|moyenne; moyen, ordinaire|o;o
pat|tapoter, caresser|v
everyday|quotidien, de tous les jours|o
generous|généreux; copieux, généreux|o;o
indicate|indiquer, montrer; indiquer, révéler|v;v
brake|frein; freiner|o;v
jet|avion à réaction, jet; jet, giclée|o;o
sack|sac; virer, licencier|o;v
bishop|évêque|o
salad|salade|o
underground|souterrain, sous terre; clandestin, underground|o;o
brick|brique|o
religious|religieux, de la religion; pieux, croyant|v;o
tick|tic-tac; coche, petite marque; tique|o;o;o
western|de l'ouest, occidental; western|o;o
surveillance|surveillance|o
shed|abri, remise; perdre, laisser tomber|o;v
tag|étiquette; jeu du chat|o;o
booth|cabine, isoloir|o
underneath|dessous, sous|o
belly|ventre|o
echo|écho|o
moral|moral, du bien et du mal; morale (d'une histoire)|v;o
scout|éclaireur; dénicher des talents, recruter|o;v
surgeon|chirurgien|o
incredibly|incroyablement, extrêmement; incroyablement, de façon invraisemblable|o;o
favourite|favourite, orthographe britannique de favorite|o
complex|complexe, compliqué; complexe, ensemble de bâtiments|o;o
anniversary|anniversaire (d'un événement)|o
pirate|pirate; pirate, contrefacteur|o;o
doorbell|sonnette|o
impact|impact, choc; impact, effet|o;o
ward|salle (d'hôpital); pupille|o;o
wednesday|mercredi|o
needle|aiguille|o
timing|choix du moment, timing|o
fee|honoraires, frais|o
objection|objection|o
patience|patience|o
principle|principe, règle de conduite; principe, loi|o;o
foolish|insensé, stupide|o
stroke|coup; attaque, AVC; caresser|o;o;v
smooth|lisse, uni; sans heurts, tranquille|o;o
somethin|quelque chose (orthographe familière de something)|o
judgment|jugement, décision; jugement, discernement|o;o
seed|graine, semence|o
compromise|compromis; compromettre, mettre en péril|o;v
bake|faire cuire au four|v
boil|bouillir, faire bouillir|v
appearance|apparence, allure; apparition, arrivée|o;o
feature|trait (du visage); caractéristique, particularité|o;o
foster|élever (un enfant placé); favoriser, encourager|v;v
awkward|maladroit, gauche; gênant, délicat|o;o
structure|structure, agencement; construction, édifice|o;o
filthy|crasseux, immonde; obscène, ordurier|o;o
backup|renfort, soutien; sauvegarde, copie|o;o
brief|bref, court; mettre au courant, briefer|o;v
squeal|(cri aigu et prolongé)|g
someplace|quelque part (américain)|o
conscience|conscience (morale)|o
rebel|rebelle, insurgé; se rebeller, se soulever|o;v
possession|possession, jouissance; bien, possession|o;o
sweep|balayer; balayer, parcourir|v;v
electric|électrique|o
pleasant|agréable, plaisant|o
mar|gâcher, abîmer|v
patch|pièce, rustine; parcelle, coin|o;o
relieve|soulager, apaiser; relever, remplacer|v;v
forth|en avant, dehors; (and so forth) et ainsi de suite|o;o
gray|gris|o
album|album (de photos); album (de chansons)|o;o
homicide|homicide, meurtre; brigade criminelle|o;o
organ|organe; orgue|o;o
fingerprint|empreinte digitale|o
survivor|survivant, rescapé|o
whir|(ronronnement d'une machine)|g
encourage|encourager|v
guilt|culpabilité, faute; culpabilité, sentiment de faute|o;o
humiliate|humilier|v
pro|professionnel, pro; argument pour|o;o
react|réagir|v
minor|mineur, secondaire; mineur (personne)|o;o
burst|éclater, exploser|v
shore|rivage, rive|o
officially|officiellement|o
superior|supérieur, meilleur; supérieur, chef|o;o
offense|infraction, délit; offense, affront; attaque (dans un match)|o;o;o
clay|argile, terre glaise|o
unhappy|malheureux, triste; mécontent, pas satisfait|o;o
dismiss|congédier, renvoyer; écarter, chasser de son esprit; licencier|v;v;v
thud|(bruit sourd d'une chute)|g
lap|genoux (position assise); tour (de piste)|o;o
atmosphere|atmosphère (air); ambiance, atmosphère|o;o
compliment|compliment|o
slight|léger, faible; snober, ignorer|o;v
behalf|(on behalf of) au nom de, de la part de|o
reasonable|raisonnable, sensé; raisonnable, modéré|o;o
beard|barbe|o
statue|statue|o
beside|à côté de, auprès de|o
commission|mission, commande; commission (sur une vente); commission d'enquête|o;o;o
earl|comte (noble britannique)|o
hood|capuche; capot (américain)|o;o
ouch|aïe (quand on se fait mal)|o
candidate|candidat|o
nearby|tout près, à proximité|o
mount|monter sur, enfourcher; monter, organiser; mont|v;v;o
extreme|extrême, poussé à bout; extrême, très grand|o;o
motor|moteur|o
offend|offenser, blesser; enfreindre, commettre une infraction|v;v
net|filet; net, après déductions|o;o
native|natif, originaire; naturel, inné|o;o
cable|câble; câble, télégramme|o;o
prick|(vulgaire) connard; bite; piquer|o;o;v
vanish|disparaître, s'évanouir|v
con|arnaquer, escroquer; taulard (familier)|v;o
unlike|contrairement à, à la différence de; pas dans les habitudes de|o;o
relation|rapport, lien; parent, membre de la famille|o;o
convict|condamner, déclarer coupable; détenu, forçat|v;o
content|contenu; satisfait, content|o;o
rub|frotter|v
kit|trousse, kit|o
steak|steak, bifteck|o
thus|ainsi, de cette façon; donc, par conséquent|o;o
await|attendre|v
divide|diviser, séparer; partager, répartir|v;v
swell|enfler, gonfler; houle|v;o
instinct|instinct|o
cowboy|cow-boy|o
loyal|loyal, fidèle|o
blanket|couverture|o
tit|(vulgaire) nichon; mésange|o;o
fade|passer, s'estomper; s'éteindre, disparaître|v;v
ex|ex, ancien conjoint|o
reduce|réduire, diminuer|v
shave|raser, se raser|v
downtown|en centre-ville (américain)|o
pope|le pape|o
rotten|pourri, gâté; nul, minable (familier)|o;o
paradise|paradis; paradis, ciel|o;o
eliminate|éliminer, supprimer; éliminer (d'une compétition)|v;v
meantime|(in the meantime) entre-temps, en attendant|o
powder|poudre|o
tent|tente|o
development|développement, croissance; fait nouveau, évolution; aménagement, lotissement|o;o;o
chant|scander, psalmodier|v
testing|essais, tests|o
shove|pousser brutalement, bousculer|v
widow|veuve|o
reserve|réserver, garder; réserver, retenir; réserve, stock|v;v;o
tragedy|tragédie, drame; tragédie (pièce)|o;o
banana|banane|o
heel|talon|o
slightly|légèrement, un peu|o
laundry|linge (à laver); blanchisserie, laverie|o;o
pan|casserole, poêle; faire un panoramique|o;v
lousy|nul, minable (familier)|o
existence|existence|o
counsel|conseils; avocat, conseil|o;o
fifty|50|o
chew|mâcher, mastiquer|v
strategy|stratégie|o
spider|araignée|o
theatre|theatre, orthographe britannique de theater|o
assignment|mission, tâche|o
chairman|président (d'une réunion, d'une société)|o
circus|cirque|o
eagle|aigle|o
confident|sûr de soi, confiant|o
yay|(cri de joie) youpi|g
auntie|tata, tantine (familier)|o
expense|frais, coût; dépense|o;o
st|St, abréviation de Saint ou de Street|o
uncomfortable|inconfortable, peu confortable; mal à l'aise, gêné|o;o
rank|rang, grade; rang, rangée|o;o
zombie|zombie|o
na|(dans gonna, wanna) partie d'une forme contractée|o
recognise|recognise, orthographe britannique de recognize|o
population|population|o
deed|acte, action; acte, titre de propriété|o;o
precisely|précisément, exactement; (en réponse) exactement|o;o
merely|simplement, seulement|o
underwear|sous-vêtements|o
romance|histoire d'amour, liaison; roman d'amour|o;o
pearl|perle|o
privilege|privilège|o
publish|publier, éditer|v
farewell|adieu (en se quittant)|o
raid|raid, descente; faire une descente dans, attaquer|o;v
weed|mauvaise herbe; herbe, beuh (familier)|o;o
chirp|(pépiement)|g
satellite|satellite; satellite (d'une planète)|o;o
deposit|acompte, arrhes; déposer, verser|o;v
intelligent|intelligent|o
comin|en train de venir (orthographe familière de coming)|o
liberty|liberté|o
protest|protester, contester; manifestation, protestation|v;o
plot|complot, machination; intrigue, histoire; terrain, parcelle|o;o;o
relief|soulagement; secours, aide|o;o
footage|images, séquences filmées|o
mud|boue|o
engagement|fiançailles; rendez-vous, engagement|o;o
lecture|conférence, cours magistral; sermon, remontrance|o;o
palm|paume; palmier|o;o
beam|rayon (de lumière); poutre; sourire jusqu'aux oreilles|o;o;v
bounce|rebondir|v
belief|croyance, conviction; confiance, foi|o;o
thirty|30|o
boo|(huée; cri pour faire sursauter)|g
alibi|alibi|o
hers|le sien, à elle|o
mm-hm|mmh (qui veut dire oui)|g
blah|(blabla, paroles creuses); fade, quelconque|g;o
arrow|flèche; flèche (panneau)|o;o
penis|pénis|o
rely|(rely on) compter sur, se fier à|v
fulfill|tenir (une promesse), accomplir; satisfaire, combler|v;v
sync|synchronisation; synchroniser|o;v
missile|missile|o
dine|dîner|v
curtain|rideau|o
humanity|humanité, les hommes; humanité, bonté|o;o
reverse|reculer, faire marche arrière; contraire, inverse|v;o
instance|exemple, cas; (for instance) par exemple|o;o
blackmail|chantage; faire chanter|o;v
loyalty|loyauté, fidélité|o
encounter|rencontrer par hasard, tomber sur; rencontrer, se heurter à|v;v
drain|vider, faire écouler; canalisation, égout|v;o
rattle|(cliquetis, bruit de ferraille)|g
highway|route nationale, grand axe|o
resource|ressource|o
noon|midi|o
diet|alimentation, régime alimentaire; régime, diète|o;o
alley|ruelle, allée|o
previous|précédent, antérieur|o
moaning|gémissements, plaintes|o
tense|tendu, nerveux; tendu, raide|o;o
lemon|citron|o
beneath|sous, en dessous de|o
dock|dock, quai; banc des accusés|o;o
deaf|sourd|o
bucket|seau|o
facing|face à, en face de|o
grey|grey, orthographe britannique de gray|o
necklace|collier|o
conflict|conflit, désaccord; conflit, combats|o;o
journalist|journaliste|o
vessel|navire, vaisseau; récipient; vaisseau (sanguin)|o;o;o
embrace|étreindre, serrer dans ses bras; adopter, embrasser|v;v
twelve|12|o
corn|céréales, blé; maïs (américain)|o;o
quote|citer; devis, prix proposé|v;o
technically|techniquement, à proprement parler|o
polish|astiquer, faire briller; cirage, produit lustrant|v;o
shatter|voler en éclats, fracasser|v
gettin|en train d'obtenir (orthographe familière de getting)|o
steam|vapeur|o
cia|CIA, les renseignements extérieurs des États-Unis|o
ii|II, le chiffre deux en chiffres romains|o
puppy|chiot|o
expression|expression, tournure; expression, air|o;o
accomplish|accomplir, réaliser|v
oxygen|oxygène|o
locker|casier, vestiaire|o
jeez|(exclamation de surprise, version atténuée de "Jesus")|g
custom|coutume, usage; (customs) douane|o;o
discovery|découverte|o
slice|tranche|o
mill|moulin, usine|o
scientific|scientifique, des sciences; scientifique, rigoureux|v;o
slut|(injurieux) salope, traînée|o
chaos|chaos, pagaille totale|o
pursue|poursuivre, pourchasser; poursuivre, continuer|v;v
soviet|soviétique|o
burden|fardeau, charge; fardeau, poids|o;o
stubborn|têtu, obstiné|o
salary|salaire|o
august|août|o
oi|hé (pour interpeller)|g
intense|intense, très fort|o
talkin|en train de parler (orthographe familière de talking)|o
bleed|saigner|v
communicate|communiquer|v
liver|foie|o
galaxy|galaxie|o
absolute|absolu, total|o
decade|décennie|o
instrument|instrument (de précision); instrument de musique|o;o
pose|poser (pour une photo); poser (un problème); se faire passer pour|v;v;v
civilian|civil|o
ideal|idéal; idéal, parfait|o;o
academy|école, académie; académie, société savante|o;o
compete|rivaliser, concourir|v
badge|badge, insigne|o
unable|incapable de|o
invest|investir, placer|v
neighbour|neighbour, orthographe britannique de neighbor|o
foundation|fondations; création, fondation; fondation (organisme)|o;o;o
obsess|obséder, hanter|v
creepy|inquiétant, glauque|o
flood|inondation, crue|o
nest|nid|o
coke|coca; coke, cocaïne (familier)|o;o
conclusion|fin, conclusion; conclusion, déduction|o;o
meanwhile|entre-temps, pendant ce temps; en même temps, parallèlement|o;o
blonde|blond; blonde|o;o
fort|fort, forteresse|o
region|région|o
weakness|faiblesse; défaut, point faible; faible, penchant|o;o;o
whale|baleine|o
explosive|explosif; explosif (substance)|o;o
drawer|tiroir|o
reverend|(titre d'un membre du clergé) révérend|g
jazz|jazz|o
opera|opéra|o
suitcase|valise|o
worthy|digne de, méritant|o
display|exposer, présenter; exposition, étalage|v;o
fart|(vulgaire) péter|v
labor|travail, labeur; accouchement, travail|o;o
furniture|meubles, mobilier|o
warehouse|entrepôt|o
serving|portion, part|o
stamp|timbre; taper du pied, piétiner|o;v
withdraw|retirer, reprendre; se retirer, reculer|v;v
softly|doucement, tout bas|o
vegetable|légume|o
snack|en-cas, collation|o
bid|offre, enchère; tentative|o;o
worm|ver|o
catholic|catholique|o
dessert|dessert|o
alpha|alpha (première lettre grecque); chef, dominant|o;o
soap|savon|o
whoop|(grand cri de joie)|g
electronic|électronique|o
remote|éloigné, isolé; à distance, télécommandé|o;o
retreat|battre en retraite, reculer; retraite, refuge|v;o
communist|communiste|o
waiter|serveur, garçon|o
destruction|destruction|o
lightning|éclair, foudre|o
core|coeur, centre; trognon|o;o
trauma|traumatisme; traumatisme, blessure grave|o;o
priority|priorité|o
cheek|joue; culot, toupet|o;o
concept|concept, notion|o
proposal|proposition, projet; demande en mariage|o;o
investment|investissement, placement|o
ye|(vieilli) vous|f2s2p
creak|(grincement, craquement)|g
politician|homme politique, politicien|o
soil|sol, terre|o
deadly|mortel; extrême, terrible|o;o
crane|grue (machine); grue (oiseau)|o;o
junk|bric-à-brac, camelote|o
ancestor|ancêtre|o
ambassador|ambassadeur|o
horror|horreur, effroi; film d'horreur|o;o
southern|du sud, méridional|o
chap|type, gars (britannique)|o
mexican|mexicain|o
july|juillet|o
speaker|orateur, celui qui parle; haut-parleur, enceinte|o;o
typical|typique, caractéristique|o
soda|soda, boisson gazeuse; eau gazeuse|o;o
lamb|agneau; agneau (viande)|o;o
medication|médicament, traitement|o
discussion|discussion|o
medal|médaille|o
latin|latin, de la Rome antique|o
rot|pourrir, se décomposer|v
divine|divin, de Dieu; divin, merveilleux|o;o
guardian|protecteur, gardien; tuteur|o;o
frog|grenouille|o
jewel|bijou, pierre précieuse|o
entry|entrée (accès); entrée, arrivée; entrée, inscription|o;o;o
pillow|oreiller|o
serial|feuilleton; en série, successif|o;o
rubbish|ordures, déchets (britannique); n'importe quoi, âneries|o;o
feather|plume|o
chapter|chapitre|o
wagon|charrette, chariot; wagon|o;o
sailor|marin, matelot|o
helpful|utile, serviable|o
bloke|type, mec (britannique)|o
worship|adorer, vénérer; adorer, idolâtrer|v;v
clan|clan|o
dressing|vinaigrette, assaisonnement; pansement|o;o
supper|dîner, souper|o
whiskey|whisky|o
addict|toxicomane, accro|o
clatter|(fracas, cliquetis)|g
comedy|comédie|o
fraud|fraude, escroquerie; imposteur, charlatan|o;o
description|description|o
bruise|bleu, ecchymose|o
weigh|peser, mesurer le poids de; peser, faire un poids|v;v
balloon|ballon, baudruche|o
liquor|alcool, spiritueux (américain)|o
throne|trône|o
grief|chagrin, peine|o
