# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
persuade|persuadir, convencer|v
conspiracy|conspiración, plan secreto de varios|o
update|actualizar; actualización, la información más nueva|v;o
envelope|sobre (para una carta)|o
sunshine|la luz y el calor del sol|o
undercover|encubierto, que trabaja en secreto|o
operator|operador de una máquina o de una central telefónica|o
contrary|contrario, opuesto; on the contrary: al contrario|o;n
poker|póquer; atizador para avivar el fuego|o;o
arrival|llegada a un lugar; recién llegado|o;o
stun|dejar sin sentido; dejar pasmado, impactar|v;v
leap|saltar lejos, dar un brinco grande|v
assist|ayudar, asistir|v
depth|profundidad|o
counselor|consejero, quien aconseja sobre problemas; abogado (americano)|o;o
tragic|trágico, que acaba en desgracia|o
uhh|(sonido largo de duda)|g
sis|hermana, manita (informal)|o
commitment|compromiso que obliga; entrega total|o;o
tennis|tenis|o
traditional|tradicional|o
delicate|delicado, fácil de romper; delicado, que hay que tratar con cuidado|o;o
weep|llorar, derramar lágrimas|v
cycle|ciclo de sucesos que se repiten; bicicleta|o;o
cocktail|coctel|o
foul|asqueroso, repugnante; falta en un juego|o;o
bait|carnada, cebo; tentar, provocar|o;v
sniffle|sorber por la nariz tapada|v
sting|picar con un aguijón; ardor, dolor punzante|v;o
tomato|jitomate, tomate|o
murmur|murmurar, hablar en voz baja|v
northern|del norte, norteño|o
nowadays|hoy en día, a diferencia de antes|o
drift|ir a la deriva, ser llevado por el agua o el aire; andar sin rumbo|v;v
ant|hormiga|o
gum|encía; chicle|o;o
companion|compañero, quien te acompaña|o
ban|prohibir oficialmente; prohibición oficial|v;o
overwhelm|rebasar, ser demasiado para; arrasar, vencer por completo|v;v
gently|con suavidad y cuidado|o
snore|roncar|v
roast|asar, hornear al fuego|v
define|definir, decir qué significa exactamente algo|v
gunfire|(sonido de disparos)|g
stitch|puntada al coser; punzada en el costado|o;o
certificate|certificado, documento oficial|o
backwards|hacia atrás; al revés, en orden inverso|o;o
airplane|avión (americano)|o
hooker|prostituta, puta (informal)|o
iike|(errata de like) como|o
bin|bote de basura|o
protocol|protocolo, cómo comportarse en actos oficiales; protocolo, reglas para intercambiar datos|o;o
petty|insignificante, de poca monta; mezquino, quisquilloso|o;o
crow|cuervo|o
fucker|(vulgar) cabrón, hijo de puta|o
spark|chispa de fuego; chispazo de electricidad|o;o
leather|cuero, piel|o
bacon|tocino|o
dutch|holandés, de los Países Bajos; el idioma neerlandés|o;o
endure|soportar, aguantar; perdurar, durar|v;v
forgiveness|perdón|o
permanent|permanente, para siempre|o
dammit|(vulgar) maldita sea, exclamación de fastidio|o
darn|(exclamación suave de fastidio) rayos; zurcir un agujero en la tela|g;v
sub|suplente; submarino (informal)|o;o
alternative|alternativa, otra opción; alternativo, que sustituye a lo usual|o;o
sunny|soleado; alegre, risueño|o;o
african|africano, de África|o
packing|el empacar; material que protege la mercancía|o;o
yen|yen, moneda japonesa; anhelo, ganas fuertes|o;o
consult|consultar, pedir consejo a; consultar, buscar en un libro|v;v
myth|mito, historia antigua de dioses y héroes; mito, creencia falsa muy extendida|o;o
suite|suite, conjunto de habitaciones; juego de muebles|o;o
unfair|injusto, que no trata a todos igual|o
polite|cortés, bien educado|o
mob|turba, multitud desordenada; la mafia, el crimen organizado|o;o
nigger|(insulto muy ofensivo contra una persona negra)|g
illusion|ilusión, idea falsa; ilusión, algo que parece otra cosa|o;o
motorcycle|motocicleta|o
wander|deambular, andar sin rumbo fijo|v
reflect|reflejar la luz o una imagen; reflexionar, pensar con calma|v;v
pistol|pistola|o
smack|dar una nalgada, golpear con la mano abierta; el sonido seco de ese golpe|v;o
draft|borrador, primera versión; reclutamiento militar|o;o
ham|jamón|o
poster|cartel, póster|o
resolve|resolver un problema; resolver, decidir con firmeza|v;v
pad|almohadilla, cojincillo; bloc de hojas|o;o
fold|doblar|v
absurd|absurdo, tan disparatado que da risa|o
villain|villano, persona malvada; villano de una historia|o;o
unlock|abrir con llave|v
rod|vara, barra larga y delgada|o
lesbian|lesbiana|o
economy|la economía de un país; economía, uso cuidadoso de lo que se tiene|o;o
acid|ácido; ácido, LSD (informal)|o;o
steer|conducir, dirigir un vehículo o barco|v
squeak|(chillido corto y agudo)|g
insect|insecto|o
lighter|encendedor; menos pesado|o;o
thanksgiving|Día de Acción de Gracias, fiesta estadounidense de noviembre|o
receipt|recibo, comprobante de pago|o
overcome|vencer, superar; verse abrumado por una emoción|v;v
theft|robo, el delito de robar|o
adore|adorar, amar profundamente; encantarle a uno|v;v
cleaner|persona o producto que limpia|o
frustrate|frustrar, impedir que alguien logre lo que quiere|v
feast|banquete, comilona para muchos|o
cabinet|vitrina, mueble con repisas; gabinete, los ministros principales|o;o
sire|(antiguo) señor, trato para un rey|o
immunity|estar a salvo de una enfermedad o de la ley|o
tin|estaño; lata de comida|o;o
cricket|críquet; grillo|o;o
closely|de cerca; con mucha atención|o;o
length|largo, longitud; tramo de cierto tamaño|o;o
oath|juramento solemne, sobre todo ante un tribunal; grosería, palabrota|o;o
perfume|perfume|o
soccer|futbol soccer|o
combine|combinar, unir en uno|v
solo|en solitario, hecho solo; solo, pieza tocada por una persona|o;o
strangle|estrangular|v
tension|tensión, sensación de nerviosismo; tensión de una cuerda o cable|o;o
autopsy|autopsia|o
rubber|hule, caucho; goma de borrar|o;o
rear|la parte trasera; criar hijos o animales|o;v
defence|defence, defense en grafía británica|o
november|noviembre|o
discipline|disciplina, entrenamiento para obedecer; castigo; disciplina, rama de estudio|o;o;o
vault|bóveda de seguridad; saltar apoyándose en las manos|o;v
whine|gimotear, hacer un sonido agudo de queja|v
penalty|castigo por romper una regla; penal, tiro libre en el futbol|o;o
cattle|ganado vacuno|o
unconscious|inconsciente, sin sentido; inconsciente, que la mente no advierte|o;o
fairly|bastante, hasta cierto punto; con justicia|o;o
slaughter|matanza de animales para carne; matanza de mucha gente|o;o
radiation|radiación, energía emitida en rayos|o
column|columna, pilar alto; columna, franja angosta de una página|o;o
bench|banca; el estrado del juez|o;o
cigar|puro, habano|o
orbit|órbita|o
specifically|específicamente, para ese fin exacto|o
sarge|sargento (informal)|o
bloom|flor; florecer|o;v
creation|creación, el hacer algo; la creación, el mundo creado|o;o
envy|envidia, ganas de tener lo del otro; envidiar|o;v
glow|resplandor sin llama; brillar suavemente|o;v
coma|coma, inconsciencia profunda y prolongada|o
infection|infección|o
immediate|inmediato, que ocurre al instante; inmediato, el más cercano|o;o
mock|burlarse imitando; simulado, de práctica|v;o
riot|disturbio, desorden violento de una multitud|o
mortal|mortal, que ha de morir; mortal, que causa la muerte|o;o
republic|república|o
educate|educar, enseñar durante mucho tiempo|v
hunger|hambre, necesidad o ganas de comer|o
gangster|gánster, miembro de una banda criminal|o
fame|la fama|o
rascal|pícaro, sinvergüenza|o
confront|enfrentar con valor; confrontar, poner cara a cara con|v;v
liquid|líquido|o
harsh|áspero y desagradable; severo, duro|o;o
recipe|receta de cocina|o
laser|láser|o
splendid|espléndido, magnífico; buenísimo|o;o
layer|capa de material|o
ladder|escalera de mano|o
pm|p.m., después del mediodía|o
savage|salvaje, feroz y cruel; atacar con ferocidad|o;v
cemetery|cementerio, panteón|o
halloween|Halloween, la noche del 31 de octubre en que los niños se disfrazan|o
vulnerable|vulnerable, fácil de herir o atacar|o
vital|vital, necesario para vivir; vital, de la mayor importancia|o;o
bureau|dependencia del gobierno; oficina de un servicio|o;o
greet|saludar, recibir con palabras|v
hawk|halcón|o
dip|meter un momento en un líquido; bajada, pendiente hacia abajo|v;o
hint|indicio, insinuación; insinuar, dar a entender|o;v
phrase|frase, grupo de palabras|o
isolate|aislar, mantener apartado|v
rhythm|ritmo|o
tomb|tumba, sepulcro|o
muffled|(sonido apagado, oído a través de algo)|g
jewelry|joyas, alhajas|o
ankle|tobillo|o
disagree|no estar de acuerdo|v
dummy|maniquí; tonto (informal); chupón del bebé|o;o;o
luggage|equipaje|o
prey|presa, animal cazado por otro|o
oops|(al cometer un error pequeño) ups|g
sketch|boceto, dibujo rápido; sketch, escena corta y cómica|o;o
plague|peste, enfermedad mortal que se propaga; atormentar una y otra vez|o;v
prior|previo, anterior; prior to: antes de|o;n
alike|iguales, parecidos entre sí; igual, de la misma manera|o;o
excellency|(Your Excellency) Su Excelencia, trato para un embajador o gobernador|o
skinny|flaco, muy delgado|o
burger|hamburguesa|o
dough|masa de harina y agua; lana, dinero (informal)|o;o
gallery|galería de arte; galería, piso alto de butacas|o;o
physically|físicamente, en el cuerpo; a la fuerza, por la fuerza física|o;o
spiritual|espiritual, del alma más que del cuerpo|o
bolt|cerrojo de una puerta; salir corriendo de golpe|o;v
mug|tarro, taza alta; asaltar en la calle|o;v
shepherd|pastor de ovejas|o
unexpected|inesperado|o
ensure|asegurar, hacer que algo sea seguro|v
assassin|asesino de un dirigente, magnicida|o
visual|visual, de la vista|o
arse|(vulgar) trasero, culo|o
profession|profesión, oficio que exige larga preparación|o
opponent|contrincante, rival|o
silk|seda|o
colony|colonia gobernada por otro país; colonia de colonos o de animales|o;o
instant|instante, momento; instantáneo, que ocurre al momento|o;o
alter|alterar, cambiar en algo|v
tempt|tentar, provocar el deseo de algo indebido|v
brat|chamaco malcriado|o
overnight|durante la noche; de la noche a la mañana, de repente|o;o
enterprise|empresa, firma; empresa, proyecto audaz|o;o
oven|horno|o
dignity|dignidad, porte sereno que impone respeto|o
urge|instar, insistirle a alguien; impulso, ganas fuertes|v;o
tech|tecnología; técnico (informal)|o;o
heroin|heroína|o
psycho|psicópata, loco violento (informal)|o
fracture|fractura de un hueso; fracturar, quebrar|o;v
inn|posada, mesón|o
poke|picar, empujar con el dedo o algo puntiagudo|v
coal|carbón|o
genetic|genético, de los genes y lo que se hereda|o
misery|desdicha, gran sufrimiento|o
hiss|(siseo largo y agudo, como de una serpiente)|g
imitate|imitar|v
supreme|supremo, el más alto en rango o grado|o
bingo|bingo, juego de números cantados; (grito al acertar) ¡bingo!|o;g
excitement|emoción, entusiasmo|o
mankind|la humanidad|o
idol|ídolo, persona muy admirada; ídolo, imagen que se adora|o;o
summon|mandar llamar, citar|v
initial|inicial, del principio; inicial, primera letra de un nombre|o;o
sweater|suéter|o
passage|paso, pasillo; pasaje de un libro o de una obra musical; travesía por mar|o;o;o
crab|cangrejo|o
cocaine|cocaína|o
pale|pálido, de color claro; pálido, sin color en la cara|o;o
copper|cobre; poli, policía (británico informal)|o;o
cotton|algodón (la fibra); tela de algodón|o;o
execution|ejecución, dar muerte por sentencia; ejecución de un plan|o;o
disgrace|deshonra, pérdida del respeto por una mala acción|o
association|asociación, grupo con un fin; asociación, vínculo que se hace en la mente|o;o
ninja|ninja, guerrero japonés del ataque secreto|o
ambition|ambición, ganas de triunfar; meta a la que se aspira|o;o
lo|(antiguo) he aquí, mira|o
trailer|remolque; tráiler, avance de una película|o;o
claw|garra, zarpa|o
embassy|embajada|o
psychic|psíquico, con poderes de la mente|o
assistance|ayuda, asistencia|o
scent|aroma, olor agradable; rastro que deja un animal|o;o
clip|clip, sujetador pequeño; clip, fragmento de una película; recortar con tijeras|o;o;v
pigeon|paloma|o
elsewhere|en otro lugar, a otra parte|o
condom|condón|o
consent|consentir, acceder a; consentimiento|v;o
practical|práctico, útil en la vida real; hábil con las manos|o;o
adorable|adorable, tan encantador que no se puede no quererlo|o
hatch|salir del cascarón; escotilla, abertura en un piso o pared|v;o
purple|morado|o
personnel|el personal de una organización|o
era|era, largo período de la historia|o
tan|bronceado de la piel; café claro amarillento|o;o
factor|factor, algo que contribuye a un resultado|o
nun|monja|o
cunt|(muy ofensivo) panocha, órganos sexuales femeninos; persona despreciable|o;o
inherit|heredar de un difunto; heredar de los padres|v;v
noodle|fideo, tallarín|o
apologise|apologise, apologize en grafía británica|o
exception|excepción|o
sponsor|patrocinador; patrocinar|o;v
keen|entusiasta, con ganas; afilado, agudo|o;o
businessman|empresario, hombre de negocios|o
fluid|fluido, líquido; fluido, que corre con suavidad|o;o
haul|jalar con esfuerzo; botín, lo tomado o robado|v;o
eastern|del este, oriental|o
ay|(exclamación de pena o sorpresa) ay|g
advertise|anunciar, publicitar para que la gente compre|v
december|diciembre|o
clerk|oficinista, empleado que lleva registros|o
anonymous|anónimo, sin nombre|o
bold|audaz, atrevido; marcado, fuerte y claro|o;o
wrestle|luchar cuerpo a cuerpo; batallar con un problema|v;v
stack|pila ordenada; apilar|o;v
distress|angustia, gran dolor o preocupación; peligro en el mar|o;o
grill|asar a la parrilla; interrogar con dureza|v;v
corrupt|corrupto, deshonesto; corromper|o;v
sixth|6.º|o
reporting|el informar noticias; el rendir un informe oficial|o;o
dinosaur|dinosaurio|o
adjust|ajustar, corregir un poco; adaptarse, acostumbrarse|v;v
author|autor de un libro|o
franc|franco, moneda de algunos países|o
shade|sombra, lugar sin sol; tono de un color; pantalla de una lámpara|o;o;o
ceiling|techo de un cuarto; tope, límite máximo|o;o
civilization|civilización|o
scum|escoria, gente despreciable; nata de mugre en el agua|o;o
x-ray|radiografía|o
geez|(exclamación de fastidio, forma suave de "Jesus")|g
investigator|investigador|o
participate|participar|v
villa|villa, casa grande con jardín|o
dash|echar a correr; guion, raya en la escritura|v;o
wizard|mago, hechicero|o
faithful|fiel, leal; fiel al original|o;o
discharge|dar de alta del hospital o de baja del ejército; despedir, emitir|v;v
uh-uh|(sonido que significa no)|g
filling|relleno; empaste de una muela|o;o
onion|cebolla|o
primary|primordial, el más importante; primario, de la etapa inicial|o;o
t-shirt|playera, camiseta|o
finance|las finanzas, el manejo del dinero; financiar|o;v
shitty|(vulgar) de mierda, malísimo|o
resume|reanudar, seguir tras una pausa|v
surf|surfear las olas; navegar por internet|v;v
affection|cariño, afecto|o
therapist|terapeuta|o
evolve|evolucionar, desarrollarse poco a poco|v
corporal|cabo (rango abajo de sargento)|o
elect|elegir por votación|v
tub|tina, recipiente grande y redondo; bañera|o;o
exclaim|exclamar, gritar de repente|v
hopeless|sin esperanza; malísimo para algo|o;o
swamp|pantano, ciénaga; inundar, abrumar|o;v
tide|marea|o
luckily|por suerte|o
grocery|tienda de abarrotes; (groceries) el mandado, la despensa|o;o
hesitate|dudar, titubear antes de actuar|v
heir|heredero|o
circuit|circuito eléctrico; recorrido, vuelta completa|o;o
harbor|puerto, ensenada donde fondean los barcos; dar cobijo a|o;v
breach|incumplimiento de una regla o acuerdo; brecha abierta en un muro|o;o
gesture|gesto, movimiento de la mano o la cabeza; gesto, acto que muestra sentimiento|o;o
pledge|promesa solemne; prometer solemnemente|o;v
moan|gemir de dolor; quejarse|v;v
gathering|reunión de personas|o
gag|amordazar para que no se oiga; chiste, gag|v;o
ahem|(sonido para llamar la atención) ejem|g
appetite|apetito, ganas de comer; ansia, deseo fuerte de algo|o;o
submit|ceder, rendirse; presentar, entregar para que decidan|v;v
pickle|encurtido, verdura en vinagre; aprieto, situación difícil|o;o
tuck|meter la orilla de algo en su lugar|v
aircraft|aeronave, cualquier máquina voladora|o
representative|representante, quien actúa por otros; representativo, típico de un grupo|o;o
bracelet|pulsera, brazalete|o
gal|muchacha, chava (informal)|o
hon|cariño, mi vida (al dirigirse a alguien)|o
corporation|corporación, empresa grande|o
aggressive|agresivo, listo para atacar o pelear; agresivo, enérgico|o;o
rev|acelerar el motor|v
significant|considerable, lo bastante grande para importar; significativo, lleno de sentido|o;o
pony|poni, caballito|o
devote|dedicar por entero el tiempo o el cariño a|v
