# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
pancake|panekuk, kue dadar tipis|o
wee|kecil mungil (Skotlandia); (informal) kencing|o;v
teenage|remaja, berusia belasan tahun|o
stalk|menguntit diam-diam; tangkai tumbuhan|v;o
donkey|keledai|o
worthless|tidak berharga sama sekali|o
kindness|kebaikan hati; perbuatan baik|o;o
carriage|kereta kuda; gerbong kereta api|o;o
plead|memohon dengan sangat; menyatakan jawaban atas dakwaan di pengadilan|v;v
constable|polisi berpangkat terendah (Inggris)|o
employ|mempekerjakan; memakai, memanfaatkan|v;v
vein|pembuluh balik, urat darah menuju jantung|o
sunset|matahari terbenam|o
straighten|meluruskan; membereskan, merapikan|v;v
campus|kampus, lingkungan universitas|o
instrumental|berperan besar, ikut mewujudkan; instrumental, hanya alat musik|o;o
scotch|wiski Skotlandia|o
website|situs web|o
risky|berisiko, penuh bahaya|o
fur|bulu tebal binatang|o
january|Januari|o
eleven|11|o
sector|sektor, bagian wilayah atau bidang usaha|o
ginger|jahe; oranye kemerahan|o;o
violate|melanggar hukum atau janji; melecehkan, memperlakukan tanpa hormat|v;v
boarding|naik ke kapal atau pesawat; mondok, tinggal di asrama sekolah|o;o
residence|kediaman, rumah tempat tinggal; tinggal, bermukim di suatu tempat|o;o
hobby|hobi, kegemaran di waktu luang|o
donate|menyumbang, mendonasikan|v
kindly|dengan ramah, dengan baik hati; (tolong) sudilah, harap|o;o
pimp|mucikari, germo|o
nickname|nama panggilan, julukan|o
resort|tempat peristirahatan, resor; resort to: terpaksa menempuh, jalan terakhir|o;n
glue|lem, perekat|o
martial|tentang perang, militer; martial arts: bela diri|v;n
nigga|(kasar, dipakai terutama sesama penutur kulit hitam) bung, kawan|o
puppet|boneka bertali, wayang; boneka, orang yang dikendalikan|o;o
upside|(upside down) terbalik, atas jadi bawah; sisi baik dari suatu keadaan|o;o
imperial|kekaisaran, tentang kaisar|o
paranoid|paranoid, curiga berlebihan bahwa orang berniat jahat|o
democracy|demokrasi|o
rehearse|berlatih untuk pentas atau konser|v
congress|Kongres, badan pembuat undang-undang Amerika; kongres, rapat besar resmi|o;o
mole|tahi lalat; tikus tanah; mata-mata di dalam organisasi|o;o;o
olive|buah zaitun; pohon zaitun|o;o
recovery|kesembuhan, pemulihan; perolehan kembali barang yang hilang|o;o
pinch|mencubit; mencuri, menggasak (informal)|v;v
championship|kejuaraan|o
porter|kuli angkut barang; penjaga pintu|o;o
crop|tanaman pangan, hasil panen; memangkas pendek|o;v
jaw|rahang bawah|o
manipulate|memanipulasi, mengendalikan orang demi kepentingan sendiri; menangani dengan terampil|v;v
robber|perampok|o
handling|penanganan, cara mengurus sesuatu|o
stunt|aksi berbahaya untuk film atau pertunjukan; menghambat pertumbuhan|o;v
accidentally|tidak sengaja, secara kebetulan|o
sympathy|simpati, rasa iba atas kesusahan orang; kesepahaman, dukungan pada suatu pandangan|o;o
importance|pentingnya, kepentingan|o
lodge|pondok penjaga di gerbang; menginap di kamar sewaan; mengajukan pengaduan resmi|o;v;v
bachelor|bujangan, pria yang belum pernah menikah|o
ex-wife|mantan istri|o
peak|puncak, titik tertinggi; puncak gunung|o;o
trophy|piala, tropi|o
psychiatrist|psikiater, dokter jiwa|o
pacific|Pasifik, tentang Samudra Pasifik; damai, tenteram|o;o
glorious|gemilang, mulia dan patut dipuji|o
champ|juara (informal)|o
subway|kereta bawah tanah (Amerika); terowongan penyeberangan (Inggris)|o;o
acknowledge|mengakui kebenarannya; mengakui telah menerima|v;v
hatred|kebencian|o
platform|panggung, lantai yang ditinggikan; peron stasiun; program partai, cita-cita yang dicanangkan|o;o;o
waitress|pelayan restoran perempuan|o
panel|panel, papan pada pintu atau dinding; panel, kelompok pembahas atau penilai|o;o
particle|partikel, butiran zat yang sangat kecil|o
ministry|kementerian; pelayanan pendeta|o;o
inspiration|ilham, gagasan bagus yang datang mendadak; inspirasi, orang atau hal yang membangkitkan semangat|o;o
splash|memercikkan, mencipratkan; bunyi ceburan|v;o
dentist|dokter gigi|o
so-called|yang disebut, meski sebenarnya tidak begitu|o
anyways|pokoknya, bagaimanapun (informal)|o
ew|(bunyi jijik) ih|g
daylight|cahaya siang|o
genuine|asli, bukan tiruan; tulus, sungguh-sungguh|o;o
notify|memberitahukan secara resmi|v
origin|asal, tempat atau titik mulanya|o
torch|senter (Inggris); obor|o;o
portrait|potret, lukisan atau foto orang|o
demonstrate|memperagakan, menunjukkan dengan jelas; berunjuk rasa|v;v
mutter|menggerutu, berbicara lirih tak jelas|v
somewhat|agak, sedikit banyak|o
mumble|berkomat-kamit, berbicara tak jelas|v
stir|mengaduk; bergerak sedikit; membangkitkan perasaan|v;v;v
messenger|kurir, pembawa pesan|o
breeze|angin sepoi; pekerjaan gampang (informal)|o;o
mechanic|montir, mekanik|o
wealthy|kaya raya|o
password|kata sandi|o
programme|programme, ejaan Inggris dari program|o
brandy|brendi|o
dime|dime, koin sepuluh sen (Amerika)|o
electrical|kelistrikan, tentang listrik|v
philosophy|filsafat; falsafah, pandangan hidup|o;o
invasion|invasi, penyerbuan ke suatu negeri|o
bluff|menggertak, berlagak lebih kuat; tebing curam|v;o
institution|lembaga, badan yang mapan; pranata, kebiasaan yang mengakar|o;o
flavor|rasa, cita rasa makanan; membumbui, memberi rasa|o;v
mansion|rumah besar dan megah|o
appoint|mengangkat, menunjuk ke suatu jabatan; menetapkan waktu|v;v
lunatic|orang gila; gila-gilaan, sangat konyol|o;o
blossom|bunga pohon buah; berbunga, bersemi|o;v
cellar|ruang bawah tanah rumah|o
herd|kawanan ternak, gerombolan hewan besar|o
peel|mengupas; kulit buah|v;o
helpless|tidak berdaya, tak sanggup berbuat apa-apa|o
arab|Arab, tentang bangsa Arab|o
formal|formal, mengikuti aturan dan tata krama; resmi|o;o
strictly|sebenarnya, dalam arti yang tepat; dengan ketat|o;o
dimension|dimensi, ukuran panjang, lebar, atau tinggi; segi, aspek suatu perkara|o;o
hallway|lorong di balik pintu depan|o
technical|teknis, tentang keterampilan suatu bidang atau ilmu|v
devastate|memporakporandakan, menghancurkan sama sekali; memukul batin, sangat memilukan|v;v
rival|saingan, pesaing|o
oblige|mewajibkan, memaksa karena kewajiban; menolong, memenuhi permintaan|v;v
scrub|menggosok kuat dengan sikat|v
depart|berangkat, pergi|v
brutal|brutal, kejam dan ganas; blak-blakan, terus terang menyakitkan|o;o
behaviour|behaviour, ejaan Inggris dari behavior|o
vain|angkuh, terlalu membanggakan diri; in vain: sia-sia|o;n
bicycle|sepeda|o
deer|rusa|o
absence|ketidakhadiran; ketiadaan, kekurangan|o;o
convention|konvensi, rapat besar suatu kelompok; kelaziman, kebiasaan yang diterima|o;o
strap|tali pengikat dari kulit atau kain|o
tournament|turnamen, kejuaraan banyak pertandingan|o
laptop|laptop|o
install|memasang, menyiapkan peralatan agar siap pakai|v
shotgun|senapan laras licin, bedil pelontar gotri|o
assholes|(vulgar) bajingan-bajingan, orang-orang keparat|o
bass|bas, nada musik paling rendah; ikan bas|o;o
gypsy|orang Gipsi, kaum Roma yang hidup mengembara|o
hiya|halo, hai (informal)|o
cd|CD, cakram penyimpan musik atau data|o
samurai|samurai, ksatria Jepang zaman dahulu|o
wandering|berkeliaran, mengembara tanpa arah|o
consciousness|kesadaran, keadaan sadar; kesadaran, seluruh isi pikiran dan perasaan|o;o
verdict|putusan juri; vonis, keputusan yang dijatuhkan|o;o
buyer|pembeli|o
rally|rapat umum, unjuk kekuatan; berkumpul kembali; pulih, bangkit lagi|o;v;v
evacuate|mengungsikan, mengevakuasi dari tempat berbahaya|v
stammer|gagap, berbicara terputus-putus|v
decorate|menghias, mempercantik; mengecat dan mendekor ruangan|v;v
volume|volume, kerasnya suara; volume, isi ruang; jilid, satu buku dari satu set|o;o;o
nazi|anggota partai Nazi Hitler; Nazi, tentang partai itu|o;o
conviction|pemidanaan, putusan bersalah; keyakinan teguh|o;o
dong|(bunyi dentang lonceng besar)|g
olympic|Olimpiade, tentang Olimpiade|o
handcuff|borgol; memborgol|o;v
shelf|rak, papan tempel di dinding|o
jolly|riang, gembira; sangat (Inggris)|o;o
outer|luar, di bagian luar; lebih jauh dari pusat|o;o
scoundrel|bajingan, pria licik tak berguna|o
landscape|bentang alam, pemandangan luas; lukisan pemandangan|o;o
surrounding|di sekeliling, mengelilingi; (surroundings) lingkungan sekitar|o;o
pine|pohon pinus, cemara berdaun jarum; merana, layu karena rindu|o;v
fortunately|untungnya, syukurlah|o
gotcha|dapat kau, aku paham (informal)|o
specialist|spesialis, ahli satu bidang|o
scrape|menggaruk, mengikis dengan benda tajam; nyaris saja, lolos pas-pasan|v;v
income|penghasilan, pendapatan tetap|o
jingle|(bunyi gemerincing lonceng kecil atau uang logam)|g
snatch|menyambar, merenggut cepat|v
eternity|keabadian, waktu tanpa akhir; penantian yang terasa sangat lama|o;o
harvest|panen, pemungutan hasil; hasil panen|o;o
handy|berguna, praktis; dekat, mudah dijangkau; terampil tangannya|o;o;o
tricky|rumit, perlu kehati-hatian dan keterampilan; licik, penuh akal|o;o
bald|botak|o
hike|hiking, jalan jauh di alam; lonjakan harga|o;o
misunderstand|salah paham, keliru menangkap maksud|v
imply|menyiratkan, mengisyaratkan tanpa mengatakannya|v
obtain|memperoleh, mendapatkan|v
compound|senyawa, benda dari beberapa bagian; kompleks berpagar, kumpulan bangunan|o;o
allah|(Allah) Allah, Tuhan dalam Islam|o
concrete|beton; konkret, nyata dan pasti|o;o
thread|benang jahit; benang merah, alur suatu uraian|o;o
cripple|melumpuhkan, membuat sulit berjalan; melumpuhkan, merusak parah|v;v
essential|mutlak perlu, sangat penting; inti, pokok utama|o;o
bearing|sikap tubuh, cara membawa diri; (bearings) arah, orientasi tempat|o;o
dialogue|dialog, percakapan tokoh dalam buku atau film; dialog, perundingan antar pihak|o;o
lobby|lobi, ruang depan; kelompok penekan, pelobi suatu kepentingan|o;o
fork|garpu; persimpangan, tempat jalan bercabang|o;o
loudly|dengan keras, dengan ribut|o
old-fashioned|kuno, ketinggalan zaman|o
marvelous|menakjubkan, luar biasa|o
good-looking|enak dipandang, rupawan|o
sensor|sensor, alat pendeteksi cahaya, panas, atau gerak|o
peg|pasak, jepitan kayu atau logam untuk menggantung|o
rider|penunggang kuda, pengendara sepeda|o
invention|penemuan, ciptaan baru; karangan, rekaan|o;o
wax|lilin, malam|o
vest|kaus dalam (Inggris); rompi (Amerika)|o;o
im|(salah cetak dari I'm) saya|f1s
cuff|ujung lengan baju, manset; (cuffs) borgol|o;o
endless|tanpa akhir, tiada habisnya|o
seduce|merayu ke ranjang, menggoda; menyesatkan, memalingkan dari yang benar|v;v
corp|Corp., singkatan dari Corporation|o
ingredient|bahan masakan|o
congratulate|mengucapkan selamat|v
ego|ego, harga diri seseorang|o
anyhow|bagaimanapun juga; asal-asalan, sembarangan|o;o
naive|naif, terlalu mudah percaya dan kurang pengalaman|o
prosecution|penuntutan perkara di pengadilan; pihak penuntut, jaksa|o;o
consume|memakan, meminum; menghabiskan, memakai sampai habis|v;v
exaggerate|melebih-lebihkan|v
ambush|penyergapan dari tempat tersembunyi; menyergap|o;v
tickle|menggelitik|v
argh|(pekik kesakitan atau kesal)|g
butler|kepala pelayan di rumah besar|o
scatter|menaburkan, menyerakkan; bubar, berpencar cepat|v;v
aha|(seruan tiba-tiba mengerti) aha|g
quarrel|pertengkaran; bertengkar|o;v
shutter|daun jendela; rana kamera|o;o
autograph|tanda tangan orang terkenal|o
transmission|pemancaran, pengiriman sinyal; transmisi, penerus tenaga ke roda|o;o
convenient|praktis, mudah dipakai dan sesuai kebutuhan|o
straw|jerami; sedotan minuman|o;o
loop|lingkaran, simpul dari garis yang berbalik ke dirinya|o
panty|(panties) celana dalam perempuan|o
entitled|berhak atas; berjudul, diberi judul|o;o
maker|pembuat, produsen|o
originally|semula, sebelum ada perubahan|o
pronounce|melafalkan, mengucapkan bunyi kata; menyatakan secara resmi|v;v
vet|dokter hewan; veteran, bekas anggota tentara (Amerika)|o;o
bodyguard|pengawal pribadi|o
lawn|halaman rumput|o
peach|buah persik|o
furious|murka, sangat marah; hebat, sangat dahsyat|o;o
physics|fisika|o
scenario|skenario, kemungkinan jalannya peristiwa; skenario, kerangka cerita film|o;o
edit|menyunting, mengedit tulisan atau film|v
umbrella|payung|o
revolutionary|revolusioner, benar-benar baru; kaum revolusioner, penggulingan pemerintah|o;o
convert|mengubah menjadi sesuatu yang lain; menobatkan, memasukkan ke agama baru|v;v
acquire|memperoleh, mendapatkan hak milik|v
dose|dosis, takaran obat|o
accurate|akurat, tepat sekali|o
violet|bunga violet ungu kecil; ungu kebiruan|o;o
mushroom|jamur; menjamur, tumbuh pesat|o;v
observation|pengamatan; komentar, ucapan|o;o
underestimate|meremehkan, menganggap lebih kecil dari kenyataannya|v
dispatch|mengirimkan, memberangkatkan; menyelesaikan dengan cepat|v;v
generally|biasanya; pada umumnya, oleh kebanyakan orang; secara garis besar|o;o;o
cloth|kain tenun; lap, sepotong kain pembersih|o;o
secretly|diam-diam, tanpa diketahui orang|o
hockey|hoki|o
maximum|maksimum, sebanyak-banyaknya yang mungkin atau dibolehkan|o
forty|40|o
whack|memukul keras; bunyi pukulan keras|v;o
pond|kolam|o
shrimp|udang|o
craft|kerajinan tangan; perahu; kelicikan, akal bulus|o;o;o
astronaut|antariksawan, astronaut|o
lust|nafsu birahi; hasrat besar akan sesuatu|o;o
drip|menetes; bunyi tetesan|v;o
depression|depresi, kesedihan mendalam; depresi, masa lesu perdagangan; cekungan, lekukan permukaan|o;o;o
substance|zat, bahan tertentu; inti, bagian terpenting|o;o
magician|pesulap; ahli sihir, penyihir|o;o
den|sarang binatang; ruang pribadi kecil|o;o
applaud|bertepuk tangan tanda setuju|v
frequency|frekuensi, seberapa sering terjadi; frekuensi gelombang|o;o
honesty|kejujuran|o
merchant|saudagar, pedagang besar|o
corridor|koridor, lorong panjang dalam gedung|o
drone|pesawat nirawak, drone; dengung rendah yang tetap|o;o
sleeve|lengan baju|o
predator|hewan pemangsa; pemangsa, orang yang mengincar korban|o;o
toll|tol, biaya pemakaian jalan; korban jiwa, jumlah yang tewas; membunyikan lonceng perlahan|o;o;v
disorder|kekacauan, ketidakteraturan; gangguan tubuh atau jiwa; kerusuhan|o;o;o
biscuit|biskuit|o
retirement|masa pensiun|o
sole|satu-satunya, tunggal; telapak kaki atau sol sepatu; ikan sebelah|o;o;o
salute|memberi hormat dengan mengangkat tangan ke kepala; penghormatan|v;o
wig|rambut palsu|o
shriek|(pekik melengking pendek dan nyaring)|g
settlement|kesepakatan penyelesaian sengketa; permukiman kecil, dusun; pelunasan utang|o;o;o
barbecue|barbeku, panggangan daging di luar rumah|o
household|rumah tangga, seisi rumah|o
tryin|trying, sedang mencoba (ejaan santai)|o
gap|celah, jarak antara dua benda; kekosongan, bagian yang hilang|o;o
presentation|presentasi, penyajian di depan hadirin; penyajian, cara menampilkan|o;o
fatal|fatal, mematikan; fatal, berujung bencana|o;o
rack|rak berjeruji, tempat penyimpan; menyiksa, membuat sangat menderita|o;v
roam|berkeliaran, menjelajah wilayah luas|v
grain|biji-bijian; butiran kecil; serat kayu|o;o;o
tasty|enak, sedap|o
mademoiselle|Mademoiselle, sapaan Prancis untuk perempuan belum menikah|o
asian|Asia, dari Asia|o
blink|mengedipkan mata|v
presume|menganggap benar tanpa bukti; lancang, berani-berani|v;v
pregnancy|kehamilan|o
carrot|wortel|o
herb|tanaman herbal, tumbuhan bumbu atau obat|o
dizzy|pusing, terasa berputar|o
oak|pohon ek|o
sequence|urutan, rangkaian; sekuens, rangkaian adegan film|o;o
minimum|minimum, sedikit-dikitnya yang mungkin atau dibolehkan|o
hee|(bunyi tawa cekikikan melengking)|g
scam|penipuan, tipu daya demi uang|o
mutant|mutan, makhluk yang berubah dari bentuk aslinya|o
chopper|helikopter (informal); golok, alat pencacah berat|o;o
prescription|resep dokter|o
stash|menyembunyikan untuk nanti; simpanan tersembunyi|v;o
th|(dalam 4th, 5th) akhiran penanda bilangan tingkat|o
deceased|meninggal, wafat; almarhum, orang yang meninggal|o;o
sleepy|mengantuk; sepi, lengang tanpa banyak kegiatan|o;o
bugger|(vulgar, Inggris) orang atau hal yang menyusahkan; merusak, mengacaukan|o;v
static|statis, tidak bergerak atau berubah; gangguan, bunyi kemresek di radio|o;o
almighty|mahakuasa; hebat sekali, luar biasa (informal)|o;o
climate|iklim, cuaca lazim suatu daerah; iklim, suasana umum suatu masa|o;o
approval|persetujuan, izin melakukan; perkenan, penilaian baik|o;o
trouser|(trousers) celana panjang|o
snarl|(geraman marah sambil menyeringai)|g
capacity|kapasitas, daya tampung; kemampuan; kedudukan, jabatan yang dipegang|o;o;o
legally|secara hukum, menurut yang dibolehkan hukum|o
regulation|peraturan yang dibuat penguasa; pengaturan, pengendalian|o;o
amaze|membuat takjub|v
rupee|rupee, mata uang India dan Pakistan|o
domestic|rumah tangga, tentang rumah; dalam negeri, bukan luar negeri|o;o
ransom|uang tebusan|o
triple|tiga kali lipat; rangkap tiga, berbagian tiga|o;o
spite|niat jahat, dendam kesumat; in spite of: meskipun|o;n
clearing|tanah lapang di tengah hutan|o
fortunate|beruntung|o
preparation|persiapan; ramuan, sediaan yang telah disiapkan|o;o
maniac|orang gila, orang nekat tak terkendali|o
gin|gin, arak bening beraroma juniper|o
topic|topik, pokok pembicaraan|o
swap|menukar, bertukar|v
intel|informasi rahasia yang dihimpun (informal)|o
growth|pertumbuhan; pertambahan ukuran atau jumlah|o;o
casualty|korban luka atau tewas; unit gawat darurat rumah sakit|o;o
volcano|gunung berapi|o
economic|ekonomi, tentang uang dan perdagangan; menguntungkan, mendatangkan laba|v;o
theirs|milik mereka|o
firework|kembang api|o
aspect|segi, sisi suatu perkara; rupa, tampak luar|o;o
sister-in-law|ipar perempuan, saudara suami atau istri; istri dari saudara laki-laki|o;o
hilarious|kocak sekali, sangat lucu|o
exploit|mengeksploitasi, memeras demi keuntungan sendiri; perbuatan gagah berani|v;o
salesman|pramuniaga, penjual laki-laki|o
prank|kerjaan iseng, lelucon jahil|o
laboratory|laboratorium|o
exclusive|eksklusif, tertutup bagi kebanyakan orang; eksklusif, tidak dibagi dengan yang lain|o;o
runway|landasan pacu|o
confusion|kebingungan, kesimpangsiuran|o
expectation|harapan, keyakinan bahwa sesuatu akan terjadi|o
cord|tali kecil; kabel listrik|o;o
dame|Dame, gelar kehormatan bagi perempuan setara ksatria; perempuan, wanita (Amerika kuno)|o;o
bombing|pengeboman|o
dreadful|mengerikan, sangat buruk|o
kilo|kilo, kilogram, 1.000 gram|o
february|Februari|o
forehead|dahi, kening|o
racist|rasis, memperlakukan buruk karena rasnya; rasis, orang yang berbuat begitu|o;o
rebuild|membangun kembali setelah rusak|v
brass|kuningan; alat musik tiup logam|o;o
egyptian|Mesir, dari Mesir|o
buffalo|kerbau, banteng liar besar|o
exhibit|memamerkan di depan umum; barang pameran|v;o
manual|manual, dikerjakan dengan tangan; buku petunjuk|o;o
rarely|jarang|o
railway|jalur dan sistem kereta api (Inggris)|o
chemistry|kimia|o
puke|(informal) muntah|v
delete|menghapus, mencoret dari daftar|v
lottery|lotre, undian bernomor|o
publicity|publisitas, perhatian media dan khalayak|o
objective|sasaran, tujuan yang ingin dicapai; objektif, tidak diwarnai perasaan|o;o
tremendous|sangat besar, dahsyat; hebat sekali (informal)|o;o
cape|jubah tanpa lengan; tanjung, daratan yang menjorok ke laut|o;o
intimate|intim, sangat akrab dan pribadi; intim, bersifat seksual|o;o
eager|bersemangat, tidak sabar ingin|o
scholarship|beasiswa; kesarjanaan, keluasan ilmu|o;o
telegram|telegram|o
allergic|alergi, sakit karena zat yang bagi orang lain biasa saja|o
