# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
invention|invenção, coisa feita pela primeira vez; invenção, história inventada|o;o
wax|cera|o
vest|camiseta de baixo (britânico); colete (americano)|o;o
im|(erro de impressão de I'm) eu sou, eu estou|f1s
cuff|punho da manga; (cuffs) algemas|o;o
endless|interminável, sem fim|o
seduce|seduzir, levar ao sexo; seduzir, desviar do caminho certo|v;v
corp|Corp., abreviatura de Corporation|o
ingredient|ingrediente|o
congratulate|dar os parabéns a|v
ego|ego, a noção que alguém tem do próprio valor|o
anyhow|de qualquer forma; de qualquer jeito, sem cuidado|o;o
naive|ingênuo, crédulo demais|o
prosecution|o processo movido em juízo; a acusação, a parte que processa|o;o
consume|consumir, comer ou beber; consumir, gastar por completo|v;v
exaggerate|exagerar|v
ambush|emboscada; emboscar, atacar de surpresa|o;v
tickle|fazer cócegas|v
argh|(grito de dor ou frustração)|g
butler|mordomo|o
scatter|espalhar para todos os lados; dispersar-se depressa|v;v
aha|(grito de quem entendeu de repente) aha|g
quarrel|briga, discussão acalorada; brigar, discutir com raiva|o;v
shutter|veneziana, postigo da janela; obturador da câmera|o;o
autograph|autógrafo|o
transmission|transmissão de um sinal; câmbio que leva a força às rodas|o;o
convenient|cômodo, prático, que dá jeito|o
straw|palha dos cereais; canudo de beber|o;o
loop|laço, curva que se fecha sobre si mesma|o
panty|(panties) calcinha|o
entitled|com direito a; intitulado, com um título|o;o
maker|fabricante, quem faz algo|o
originally|originalmente, no começo|o
pronounce|pronunciar os sons de uma palavra; declarar oficialmente|v;v
vet|veterinário; veterano das forças armadas (americano)|o;o
bodyguard|guarda-costas|o
lawn|gramado em volta da casa|o
peach|pêssego|o
furious|furioso, com muita raiva; furioso, violentíssimo|o;o
physics|física|o
scenario|cenário, como as coisas podem sair; roteiro resumido de um filme|o;o
edit|editar, preparar um texto ou filme cortando e corrigindo|v
umbrella|guarda-chuva|o
revolutionary|revolucionário, totalmente novo; revolucionário, quem luta para derrubar um governo|o;o
convert|converter, transformar em outra coisa; converter a uma nova fé|v;v
acquire|adquirir, passar a ter|v
dose|dose de remédio|o
accurate|exato, preciso|o
violet|violeta (a flor); roxo azulado|o;o
mushroom|cogumelo; multiplicar-se a toda velocidade|o;v
observation|observação, o olhar com atenção; observação, comentário feito|o;o
underestimate|subestimar, achar algo menor ou mais fraco do que é|v
dispatch|despachar, enviar; despachar, resolver depressa|v;v
generally|geralmente; em geral, pela maioria; em linhas gerais|o;o;o
cloth|tecido, pano; pano de limpeza|o;o
secretly|em segredo, sem que os outros saibam|o
hockey|hóquei|o
maximum|o máximo, o mais que se pode ou se permite|o
forty|40|o
whack|bater forte; o som de uma pancada forte|v;o
pond|lago pequeno, açude|o
shrimp|camarão|o
craft|ofício manual, artesanato; embarcação; astúcia, manha|o;o;o
astronaut|astronauta|o
lust|luxúria, desejo sexual forte; ânsia, desejo forte de algo|o;o
drip|pingar; o som das gotas caindo|v;o
depression|depressão, tristeza profunda; depressão, época de comércio fraco; depressão, cavidade numa superfície|o;o;o
substance|substância, matéria de certo tipo; o essencial, a parte mais importante|o;o
magician|mágico, quem faz truques; mago, feiticeiro|o;o
den|toca de um animal; cantinho, sala privativa|o;o
applaud|aplaudir|v
frequency|frequência, de quanto em quanto tempo algo ocorre; frequência de uma onda|o;o
honesty|honestidade|o
merchant|comerciante que compra e vende em grande quantidade|o
corridor|corredor|o
drone|drone, aeronave sem piloto; zumbido grave e contínuo|o;o
sleeve|manga|o
predator|predador; predador, quem se aproveita das pessoas|o;o
toll|pedágio, taxa por usar a estrada; número de mortos; dobrar, tocar o sino lentamente|o;o;v
disorder|desordem, falta de ordem; distúrbio do corpo ou da mente; desordem, tumulto público|o;o;o
biscuit|biscoito fino e seco|o
retirement|aposentadoria, o deixar o trabalho|o
sole|único, um só; sola do pé ou do sapato; linguado|o;o;o
salute|bater continência; continência, saudação militar|v;o
wig|peruca|o
shriek|(grito curto, alto e agudo)|g
settlement|acordo que encerra uma disputa; povoado pequeno; quitação do que se devia|o;o;o
barbecue|churrasco, carne assada ao ar livre|o
household|os que moram numa mesma casa|o
tryin|tentando (grafia informal de trying)|o
gap|vão entre duas coisas; lacuna, parte que falta|o;o
presentation|apresentação diante de um público; apresentação, como algo é exposto|o;o
fatal|fatal, que causa a morte; fatal, que leva ao desastre|o;o
rack|grade, prateleira de barras; torturar, causar grande dor a|o;v
roam|vagar por uma área ampla|v
grain|grão de um cereal; grãozinho, pedacinho duro; veio da madeira|o;o;o
tasty|saboroso, gostoso|o
mademoiselle|Mademoiselle, tratamento francês para uma mulher solteira|o
asian|asiático, da Ásia|o
blink|piscar|v
presume|presumir, dar por certo sem provas; atrever-se a|v;v
pregnancy|gravidez|o
carrot|cenoura|o
herb|erva de cozinha ou medicinal|o
dizzy|tonto, com tontura|o
oak|carvalho|o
sequence|sequência, ordem em que as coisas vêm; sequência de tomadas de um filme|o;o
minimum|o mínimo, o menos que se pode ou se permite|o
hee|(risadinha aguda) rê|g
scam|golpe, trambique para tirar dinheiro|o
mutant|mutante, ser alterado de sua forma normal|o
chopper|helicóptero (informal); cutelo, machado pesado|o;o
prescription|receita médica|o
stash|esconder para depois; esconderijo, reserva escondida|v;o
th|(em 4th, 5th) terminação que marca o número ordinal|o
deceased|falecido; o falecido|o;o
sleepy|sonolento, com sono; pacato, de pouco movimento|o;o
bugger|(vulgar, britânico) sujeito ou coisa chata; estragar, ferrar|o;v
static|estático, que não se move nem muda; estática, chiado no rádio|o;o
almighty|todo-poderoso; tremendo, enorme (informal)|o;o
climate|clima de uma região; clima, o ambiente geral de uma época|o;o
approval|aprovação, permissão para fazer algo; aprovação, boa opinião|o;o
trouser|(trousers) calça|o
snarl|(rosnado raivoso com os dentes à mostra)|g
capacity|capacidade, quanto cabe; capacidade, aptidão; qualidade, cargo que se ocupa|o;o;o
legally|legalmente, como a lei permite|o
regulation|regulamento, norma de quem manda; regulação, o controlar|o;o
amaze|espantar, deixar maravilhado|v
rupee|rupia, moeda da Índia e do Paquistão|o
domestic|doméstico, do lar; nacional, não estrangeiro|o;o
ransom|resgate, dinheiro exigido por um sequestrado|o
triple|triplo, três vezes mais; triplo, de três partes|o;o
spite|rancor, vontade de magoar; in spite of: apesar de|o;n
clearing|clareira na mata|o
fortunate|afortunado, com sorte|o
preparation|preparação, o aprontar-se; preparado, o que se deixa pronto|o;o
maniac|maníaco, louco descontrolado|o
gin|gim|o
topic|tema de que se fala ou escreve|o
swap|trocar uma coisa por outra|v
intel|informação secreta reunida (informal)|o
growth|crescimento; aumento de tamanho ou quantidade|o;o
casualty|ferido ou morto; pronto-socorro, setor de emergências do hospital|o;o
volcano|vulcão|o
economic|econômico, do dinheiro e do comércio; rentável, que dá lucro|o;o
theirs|deles, o que lhes pertence|o
firework|fogo de artifício|o
aspect|aspecto, um lado da questão; aspecto, a aparência de algo|o;o
sister-in-law|cunhada, irmã do cônjuge; cunhada, mulher do irmão|o;o
hilarious|hilário, engraçadíssimo|o
exploit|explorar, aproveitar-se injustamente de; façanha, feito ousado|v;o
salesman|vendedor|o
prank|trote, brincadeira de pregar peça|o
laboratory|laboratório|o
exclusive|exclusivo, fechado a quase todos; exclusivo, não compartilhado|o;o
runway|pista de decolagem e pouso|o
confusion|confusão|o
expectation|expectativa, a crença de que algo vai acontecer|o
cord|cordão, corda fina; fio elétrico|o;o
dame|dama, título feminino equivalente ao de cavaleiro; mulher, dona (americano antiquado)|o;o
bombing|bombardeio|o
dreadful|terrível, horroroso|o
kilo|quilo, 1.000 gramas|o
february|fevereiro|o
forehead|testa|o
racist|racista, que trata mal por causa da raça; racista, quem age assim|o;o
rebuild|reconstruir|v
brass|latão, metal de cobre e zinco; os metais, instrumentos feitos dele|o;o
egyptian|egípcio, do Egito|o
buffalo|búfalo|o
exhibit|expor em público; peça exposta|v;o
manual|manual, feito com as mãos; manual, livro de instruções|o;o
rarely|raramente|o
railway|a ferrovia, trilhos e sistema de trens (britânico)|o
chemistry|química|o
puke|(informal) vomitar|v
delete|apagar, tirar de uma lista|v
lottery|loteria|o
publicity|publicidade, atenção da imprensa e do público|o
objective|objetivo, meta a atingir; objetivo, sem se deixar levar por sentimentos|o;o
tremendous|tremendo, enorme; sensacional (informal)|o;o
cape|capa sem mangas; cabo, ponta de terra no mar|o;o
intimate|íntimo, muito próximo e pessoal; íntimo, sexual|o;o
eager|ansioso, cheio de vontade de fazer algo|o
scholarship|bolsa de estudos; erudição, saber profundo|o;o
telegram|telegrama|o
allergic|alérgico|o
logic|lógica, raciocínio passo a passo|o
gratitude|gratidão|o
thug|capanga, criminoso violento|o
ultimately|no fim das contas; no fundo|o;o
majority|a maioria, mais da metade|o
calculate|calcular com números|v
bent|torto, curvado; bent on: decidido a|o;n
metre|metre, grafia britânica de meter|o
ink|tinta de escrever|o
administration|administração de uma organização; o governo no poder|o;o
reform|reformar, mudar para melhor; reforma|v;o
passionate|apaixonado, cheio de sentimento|o
precise|preciso, exato e sem margem para dúvida|o
jeans|jeans, calça de brim|o
via|via, passando por; por meio de|o;o
inmate|interno, detento de uma prisão ou hospital|o
lease|contrato de aluguel por um prazo|o
fuse|fusível que se queima com excesso de corrente; fundir, unir derretendo|o;v
retard|(ofensivo) retardado; retardar, tornar mais lento|o;v
bomber|bombardeiro, avião que solta bombas; quem põe uma bomba|o;o
buddha|(the Buddha) Buda, fundador do budismo|o
donor|doador de sangue, de um órgão ou de dinheiro|o
dam|represa, barragem|o
minus|menos, descontando a quantia; abaixo de zero|o;o
athlete|atleta|o
aww|(som de ternura ou compaixão)|g
nerd|nerd, visto como sem graça e estudioso demais|o
healing|cura, o sarar|o
obligation|obrigação, dever a cumprir|o
boundary|limite, linha que marca a borda de uma área|o
versus|contra, um lado frente ao outro|o
anchor|âncora; âncora, apresentador de telejornal|o;o
dodge|desviar-se, sair da frente; escapar de algo com uma manha|v;v
leaf|folha de uma planta; folha de um livro|o;o
melody|melodia|o
reunion|reencontro depois de muito tempo|o
landlord|senhorio, quem aluga uma casa; dono de um pub|o;o
ache|dor surda e constante; doer assim|o;v
calendar|calendário|o
labour|labour, grafia britânica de labor|o
triumph|triunfo, grande vitória; júbilo pela vitória|o;o
descend|descer; descend from: descender de uma família|v;n
anxiety|ansiedade, inquietação preocupada|o
beggar|mendigo, pedinte|o
creek|riacho (americano); enseada estreita|o;o
inviting|convidativo, agradável de ver|o
wooden|de madeira; duro, sem naturalidade|o;o
innocence|inocência, não ter culpa; inocência, não conhecer o mal|o;o
railroad|a ferrovia, trilhos e sistema de trens (americano)|o
avenge|vingar, castigar por uma ofensa|v
ape|símio, macaco grande sem rabo; macaquear, imitar|o;v
unh|(som grave de esforço ou dor)|g
replacement|substituto, quem ou o que toma o lugar de outro|o
antique|antiguidade, objeto antigo e valioso; antigo, de outra época|o;o
lobster|lagosta|o
accomplice|cúmplice|o
torment|tormento, grande sofrimento; atormentar|o;v
sickness|doença, o estar doente; enjoo, vômito|o;o
comb|pente|o
pupil|aluno da escola; pupila do olho|o;o
messy|bagunçado e sujo; confuso e desagradável|o;o
continent|continente|o
prophet|profeta|o
earring|brinco|o
robe|toga, veste longa para ocasiões formais|o
seventh|7º|o
cue|deixa, sinal para o ator falar; taco de bilhar|o;o
undo|desabotoar, soltar; desfazer o que foi feito|v;v
limb|membro, braço ou perna; galho grosso|o;o
diner|lanchonete barata (americano); comensal, quem faz a refeição|o;o
ballet|balé|o
alcoholic|alcoólatra, quem não consegue largar a bebida; alcoólico, que contém álcool|o;o
download|baixar um arquivo da internet|v
tumor|tumor|o
barrier|barreira, cerca que corta o caminho; barreira, o que impede o avanço|o;o
harmless|inofensivo|o
curiosity|curiosidade, vontade de saber; curiosidade, objeto raro|o;o
vicious|feroz, cruel e violento; maldoso, maldizente|o;o
tremble|tremer de medo ou de frio|v
translation|tradução, o ato de traduzir; tradução, o texto resultante|o;o
grind|moer, reduzir a pó; ranger, esfregar com força|v;v
mortgage|hipoteca|o
greedy|ganancioso, que quer mais do que lhe cabe|o
zip|zíper, fecho de correr; ir a toda velocidade|o;v
fountain|chafariz, jato de água|o
fog|neblina, névoa densa|o
flu|gripe|o
sabotage|sabotagem, dano feito de propósito para atrapalhar o inimigo|o
architect|arquiteto|o
interrogation|interrogatório longo e duro|o
autumn|outono|o
kneel|ajoelhar-se|v
bartender|barman, quem serve bebidas no bar|o
arrogant|arrogante, que se acha melhor que os outros|o
frost|geada, gelo branco do frio|o
compel|obrigar alguém a fazer algo|v
sperm|esperma, semente masculina que fecunda o óvulo|o
scrap|pedacinho que sobra; descartar, jogar fora; briga, rolo (informal)|o;v;o
fare|passagem, o preço da viagem|o
demonstration|manifestação de protesto; demonstração de como algo funciona|o;o
bun|pãozinho redondo; coque, cabelo preso atrás|o;o
op|operação (informal)|o
shuttle|veículo que vai e volta num trajeto curto|o
whatsoever|nenhum, de espécie alguma|o
grenade|granada de mão|o
homeland|pátria, país onde se nasceu|o
intrigue|intriga, tramas secretas; intrigar, despertar o interesse de|o;v
teen|adolescente; dos 13 aos 19 anos|o;o
gp|GP, clínico geral (britânico)|o
memorial|monumento em memória dos mortos|o
yankee|ianque, americano (sobretudo do norte)|o
haircut|corte de cabelo; o corte, o jeito como está cortado|o;o
provoke|provocar, deixar com raiva; provocar, causar|v;v
mode|modo, maneira de fazer algo; modo, ajuste de uma máquina|o;o
approximately|aproximadamente, mais ou menos|o
ivy|hera|o
fabric|tecido; estrutura, o que mantém algo unido|o;o
accountant|contador|o
reign|reinado; reinar|o;v
sip|beber aos golinhos|v
sniper|franco-atirador|o
ha-ha|(som de riso) ha ha|g
unlikely|pouco provável; difícil de crer|o;o
database|banco de dados|o
choir|coro|o
strawberry|morango|o
scarf|cachecol, echarpe|o
generate|gerar, dar origem a; gerar energia|v;v
heartbeat|batida do coração|o
lighting|iluminação, as lâmpadas de um lugar; iluminação, como a luz está posta|o;o
mutual|mútuo, sentido por ambos; mútuo, comum aos dois|o;o
rogue|patife, homem desonesto; solto e perigoso, que age por conta própria|o;o
accusation|acusação|o
beware|acautelar-se de, tomar cuidado com|v
cottage|casinha de campo|o
spear|lança|o
carve|entalhar, dar forma cortando; trinchar, cortar a carne em fatias|v;v
assemble|reunir, juntar; montar, encaixar as peças|v;v
snort|(bufo, som áspero pelo nariz)|g
offensive|ofensivo, que causa raiva ou nojo; ofensiva de um exército|o;o
balcony|sacada, varanda; balcão, poltronas de cima do teatro|o;o
discount|desconto no preço; descartar por improvável|o;v
dice|dado de jogar; cortar em cubinhos|o;v
analyze|analisar|v
armor|armadura de batalha ou blindagem de um veículo|o
expedition|expedição, viagem com um fim|o
poverty|pobreza|o
wit|humor esperto e rápido; juízo, bom senso|o;o
leadership|liderança, o ser líder; a direção, os que comandam|o;o
turk|turco, pessoa da Turquia|o
abortion|aborto provocado|o
scissor|(scissors) tesoura|o
canal|canal escavado para barcos ou água|o
violation|violação de uma lei ou acordo|o
legacy|legado deixado em testamento; legado, o que o passado deixou|o;o
axe|machado|o
stumble|tropeçar e quase cair; tropeçar nas palavras|v;v
