# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
massacre|killing of many helpless people|o
delightful|giving great pleasure|o
intellectual|of the mind and thinking; person who studies and thinks deeply|o;o
ruler|person who rules; straight strip for measuring and drawing lines|o;o
regain|to get back|v
acre|unit of land, about 4,000 square metres|o
peek|to look quickly, often in secret|v
poop|(informal) excrement; to make tired out|o;v
assembly|gathering of people; putting parts together|o;o
emotionally|in a way full of feeling|o
ounce|unit of weight, 28 grams|o
automatic|working by itself; done without thinking|o;o
kidnapper|person who takes another away by force|o
unnecessary|not needed|o
authorize|to give official permission for|v
organise|organise, British spelling of organize|o
easter|Christian festival of Christ's rising from the dead|o
hurricane|violent storm with very strong winds|o
visible|able to be seen|o
ignorant|knowing little; not knowing of something|o;o
rum|strong drink made from sugar cane|o
salvation|saving of the soul; thing that saves you|o;o
disco|place or party where recorded music is played for dancing|o
maintenance|keeping in good order; money paid to support a family|o;o
instruct|to teach; to give orders to|v;v
tobacco|dried leaves smoked in cigarettes|o
underwater|below the surface of the water|o
retrieve|to get back; to fetch|v;v
yoga|Indian system of exercise and breathing|o
make-up|make-up, another spelling of makeup|o
modest|not boastful; not large; decent in dress|o;o;o
canadian|of Canada|o
essentially|at bottom, in the main|o
ofthe|(misprint of "of the") of the|o
berry|small soft fruit with seeds|o
verse|writing in lines with rhythm; part of a song or poem|o;o
joker|person who makes jokes; extra playing card|o;o
subtle|fine and hard to notice; clever and indirect|o;o
transmit|to send out a signal; to pass on|v;v
handful|amount the hand can hold; small number; person hard to control|o;o;o
pinky|little finger (American)|o
lounge|sitting room; to sit about lazily|o;v
roller|round turning part that presses or moves things; long wave|o;o
caption|words printed under a picture|o
hen|female chicken|o
reflection|image thrown back by a mirror; careful thought|o;o
gram|unit of weight, a thousandth of a kilo|o
unto|(old) to|o
impose|to force a rule or burden on; to take unfair advantage|v;v
superintendent|senior police officer; person in charge of a building|o;o
dagger|short pointed knife used as a weapon|o
ol|old (informal spelling)|o
practise|practise, British spelling of the verb practice|o
intercept|to stop or catch on the way|v
racket|loud noise; dishonest scheme for money; bat with strings|o;o;o
corruption|dishonesty in those with power|o
kitten|young cat|o
burial|putting of a dead body in the ground|o
forensics|scientific tests used to solve crimes|o
refresh|to make fresh again; to bring up to date|v;v
outcome|way something turns out|o
verify|to check that something is true|v
dove|bird like a small pigeon, a sign of peace|o
carrier|person or thing that carries; ship for aircraft|o;o
postpone|to put off to a later time|v
voyage|long journey by sea or in space|o
crunch|(sound of something hard being crushed)|g
housing|houses and flats for people to live in|o
ambitious|eager to succeed; needing much to bring off|o;o
rapid|very fast|o
guidance|help and advice on what to do|o
hence|for this reason; from now|o;o
scramble|to climb using the hands; to struggle with others to get|v;v
inevitable|bound to happen, not to be avoided|o
bandage|strip of cloth wound round a wound|o
yacht|sailing boat used for pleasure or racing|o
dominate|to have control over; to tower over|v;v
irritate|to annoy; to make sore|v;v
breakdown|failure of a machine or of health; division into parts|o;o
tablet|small flat piece of medicine; flat computer you hold|o;o
deadline|time by which work must be done|o
skate|boot with a blade or wheels for gliding|o
shred|thin strip torn off; to cut into strips|o;v
phantom|ghost; something that seems real but is not|o;o
impulse|sudden wish to act; push that starts movement|o;o
defy|to refuse openly to obey; to stand against|v;v
distribute|to give out among many; to spread over an area|v;v
regiment|large body of soldiers|o
restrain|to hold back by force or persuasion|v
sewer|underground pipe carrying waste water|o
province|division of a country|o
jelly|soft sweet food that wobbles; fruit spread with no pieces|o;o
critic|person who judges books, films or art; person who finds fault|o;o
satisfaction|pleasure at getting what you wanted|o
historical|to do with history; that really existed|v;o
altar|table used in religious services|o
swedish|of Sweden; the Swedish language|o;o
cane|hollow stem of certain plants; stick used for walking or beating|o;o
uncover|to take the cover off; to bring a secret to light|v;v
disappointment|sadness at something not being as hoped|o
sour|sharp in taste like a lemon; bad-tempered|o;o
vague|not clear or exact|o
freely|without being held back; openly|o;o
achievement|thing done with effort and skill|o
supermarket|large shop selling food and household goods|o
hoo|(shout of excitement)|g
raven|large black bird with a harsh cry|o
protective|guarding from harm; wanting to keep someone safe|o;o
hound|hunting dog; to chase or pester|o;v
airline|company that carries people by air|o
sensation|feeling in the body; great excitement|o;o
suspenseful|(subtitle note) tense music playing|o
trainer|person who trains others; soft sports shoe|o;o
pint|unit of liquid, about half a litre|o
pasta|food of flour paste in shapes, such as spaghetti|o
delta|flat land at the mouth of a river|o
whoo-hoo|(shout of excitement)|g
clink|(light ringing sound of glass or metal)|g
itch|to feel a tickling on the skin you want to scratch|v
instantly|at once, straight away|o
strand|single thread or hair; to leave in a place with no way out|o;v
doo|(sound sung to a tune)|g
stroll|to walk slowly for pleasure|v
interrogate|to question closely and at length|v
offence|offence, British spelling of offense|o
sharply|suddenly and strongly; in a cutting way|o;o
meds|medicines (informal)|o
superhero|character in stories with more than human powers|o
magnetic|drawing iron to it; strongly attractive|o;o
tackle|to take on a hard task; to bring down a player; equipment for a sport|v;v;o
survey|to look over the whole of; set of questions put to many people|v;o
elf|small magical being in stories|o
disappearance|going out of sight or being lost|o
essence|most important quality of something|o
outstanding|far better than the rest; still not paid or done|o;o
wardrobe|cupboard for hanging clothes; all the clothes you own|o;o
lump|solid shapeless piece; swelling|o;o
squawk|(harsh loud cry of a bird)|g
starter|first course of a meal; person or thing that starts|o;o
cupcake|small cake baked in a paper cup|o
grease|thick oil or animal fat|o
attraction|power of drawing others; thing that draws visitors|o;o
thankful|glad and grateful|o
trespass|to go on someone's land without leave|v
compassion|pity that makes you want to help|o
investor|person who puts money into a business|o
unload|to take a load off; to get rid of|v;v
ceo|CEO, head of a company|o
arabic|of the Arabs; the Arabic language|o;o
additional|added, extra|o
gorilla|largest of the apes|o
veil|thin cloth covering a woman's face|o
inject|to put liquid into the body with a needle|v
reckless|acting with no thought for danger|o
pause|short stop; to stop for a moment|o;v
glance|to look quickly; quick look|v;o
rustle|(soft sound of dry leaves or paper moving)|g
premise|statement an argument is built on; (premises) building and its grounds|o;o
whereas|while on the other hand|o
heavenly|of heaven; wonderful|o;o
dang|(mild exclamation of annoyance)|g
anticipate|to expect and prepare for|v
dislike|to find unpleasant; feeling of not liking|v;o
blaze|bright strong fire; to burn brightly|o;v
classmate|person in the same class at school|o
casual|relaxed and informal; done without much thought; not regular|o;o;o
classroom|room where a class is taught|o
slack|loose, not tight; careless; slow in business|o;o;o
footprint|mark left by a foot|o
muffin|small round cake|o
overlook|to fail to notice; to look down on from above; to let pass|v;v;v
shallow|not deep; not thinking deeply|o;o
cramp|sudden painful tightening of a muscle|o
respectable|decent, deserving respect; good enough|o;o
lid|cover for a pot or box|o
intruder|person who comes in where they are not wanted|o
nag|to keep telling someone to do something|v
treason|betraying your own country|o
nipple|small point on the breast|o
tuna|large sea fish eaten as food|o
departure|leaving; setting off|o;o
nursing|care of the sick|o
tramp|homeless person who wanders; to walk with heavy steps|o;v
outsider|person not belonging to a group; runner not expected to win|o;o
treaty|formal agreement between countries|o
backing|support given; music played behind a singer|o;o
fang|long sharp tooth of a dog or snake|o
slay|to kill, especially in battle (literary)|v
popcorn|maize grains burst by heating|o
courtroom|room where a legal case is heard|o
pointless|with no purpose, not worth doing|o
portal|large doorway; way into a website|o;o
enforcement|making people obey a law|o
penetrate|to get into or through|v
agh|(cry of pain or frustration)|g
phony|not genuine, faked|o
rapidly|very quickly|o
shin|front of the leg below the knee|o
artery|tube carrying blood from the heart|o
workshop|room where things are made or mended; class where people practise|o;o
efficient|working well with no waste of time or effort|o
ordering|putting in order; asking for goods|o;o
contribution|share given to a common cause|o
queer|strange; (offensive to some) homosexual|o;o
server|computer that supplies data to others; person who serves|o;o
outrageous|shocking, going far beyond what is right|o
gracious|kind and polite in a generous way|o
recommendation|saying that someone or something is good|o
marijuana|dried plant smoked as a drug|o
sway|to swing slowly from side to side; to influence|v;v
protein|substance in food needed to build the body|o
legendary|famous from long ago; very well known|o;o
hustle|to push roughly along; to work fast for money|v;v
occupation|job; taking and holding of a country by force|o;o
